fecha,hora,delitos_code,Latitude,Longitude
12/26/2013 0:00,22:00:00,Escalamiento,18.356191,-66.437118
4/22/2013 0:00,17:00:00,Escalamiento,18.30815,-66.410535
10/8/2013 0:00,0:15:00,Asesinato,18.464305,-66.730825
4/17/2013 0:00,15:30:00,Robo,18.480022,-66.688738
5/26/2013 0:00,13:00:00,Apropiacion Ilegal,18.471234,-66.721064
3/6/2013 0:00,21:00:00,Escalamiento,18.444595,-66.644035
12/26/2013 0:00,8:00:00,Robo,18.365676,-66.573647
8/21/2013 0:00,15:00:00,Apropiacion Ilegal,18.42418,-66.923119
1/25/2013 0:00,18:00:00,Apropiacion Ilegal,18.438033,-66.541288
5/8/2013 0:00,1:00:00,Vehiculo Hurtado,18.334622,-66.368033
12/26/2013 0:00,8:00:00,Apropiacion Ilegal,18.361024,-66.835294
6/11/2013 0:00,20:45:00,Robo,18.467794,-66.730906
9/7/2013 0:00,2:30:00,Escalamiento,18.44001,-66.455355
2/6/2013 0:00,8:00:00,Apropiacion Ilegal,18.342853,-66.469575
4/22/2013 0:00,16:00:00,Robo,18.326067,-66.40813
1/24/2013 0:00,13:00:00,Vehiculo Hurtado,18.457404,-66.731532
12/28/2013 0:00,10:00:00,Apropiacion Ilegal,18.354856,-66.832111
12/10/2013 0:00,23:00:00,Escalamiento,18.481978,-66.905541
4/1/2013 0:00,7:00:00,Escalamiento,18.427615,-66.493731
6/28/2013 0:00,18:00:00,Apropiacion Ilegal,18.491956,-66.79447
7/29/2013 0:00,20:00:00,Escalamiento,18.42442,-66.910216
12/31/2013 0:00,22:11:00,Agresion Agravada,18.341618,-66.467624
5/7/2013 0:00,23:55:00,Robo,18.398335,-66.779188
1/9/2013 0:00,3:05:00,Vehiculo Hurtado,18.313369,-66.399381
8/9/2013 0:00,13:00:00,Apropiacion Ilegal,18.435462,-66.579897
2/28/2013 0:00,10:00:00,Apropiacion Ilegal,18.463284,-66.722304
12/30/2013 0:00,14:00:00,Apropiacion Ilegal,18.34841,-66.41095
6/28/2013 0:00,17:00:00,Apropiacion Ilegal,18.479565,-66.768968
12/13/2013 0:00,21:00:00,Apropiacion Ilegal,18.267713,-66.48314
7/20/2013 0:00,12:00:00,Robo,18.477304,-66.755402
12/25/2013 0:00,3:00:00,Agresion Agravada,18.48758,-66.954759
8/3/2013 0:00,4:00:00,Apropiacion Ilegal,18.447688,-66.674529
10/31/2013 0:00,17:00:00,Apropiacion Ilegal,18.483318,-66.82061
6/20/2013 0:00,17:00:00,Apropiacion Ilegal,18.480018,-66.769457
12/30/2013 0:00,3:30:00,Escalamiento,18.295123,-66.497601
12/24/2013 0:00,16:00:00,Apropiacion Ilegal,18.486968,-66.815998
12/29/2013 0:00,10:00:00,Escalamiento,18.4416,-66.550656
12/7/2013 0:00,18:00:00,Apropiacion Ilegal,18.484457,-66.769325
12/24/2013 0:00,22:00:00,Apropiacion Ilegal,18.466737,-66.788202
12/22/2013 0:00,12:00:00,Apropiacion Ilegal,18.449707,-66.540563
8/15/2013 0:00,14:42:00,Escalamiento,18.474055,-66.754804
12/26/2013 0:00,8:00:00,Apropiacion Ilegal,18.471613,-66.732986
4/8/2013 0:00,13:40:00,Agresion Agravada,18.360411,-66.472336
3/2/2013 0:00,13:38:00,Apropiacion Ilegal,18.430523,-66.496156
1/12/2013 0:00,19:00:00,Robo,18.490252,-66.815551
5/31/2013 0:00,1:00:00,Apropiacion Ilegal,18.442691,-66.915346
12/17/2013 0:00,15:00:00,Agresion Agravada,18.421795,-66.632582
1/9/2013 0:00,16:00:00,Escalamiento,18.386659,-66.788976
12/27/2013 0:00,5:00:00,Apropiacion Ilegal,18.447799,-66.674702
12/29/2013 0:00,19:00:00,Apropiacion Ilegal,18.302791,-66.379868
5/15/2013 0:00,7:00:00,Escalamiento,18.330746,-66.407486
12/6/2013 0:00,10:00:00,Apropiacion Ilegal,18.482544,-66.769751
12/17/2013 0:00,7:00:00,Escalamiento,18.350732,-66.444546
10/4/2013 0:00,19:20:00,Escalamiento,18.449715,-66.638902
11/2/2013 0:00,8:00:00,Apropiacion Ilegal,18.404875,-66.597942
12/22/2013 0:00,18:36:00,Robo,18.422282,-66.747249
7/22/2013 0:00,17:00:00,Apropiacion Ilegal,18.481454,-66.844954
1/17/2013 0:00,7:15:00,Robo,18.437351,-66.761239
4/23/2013 0:00,17:00:00,Escalamiento,18.350704,-66.436488
2/7/2013 0:00,18:00:00,Escalamiento,18.438252,-66.803885
9/13/2013 0:00,3:00:00,Escalamiento,18.433685,-66.495397
8/19/2013 0:00,22:34:00,Agresion Agravada,18.42778,-66.490574
1/21/2013 0:00,20:00:00,Vehiculo Hurtado,18.439778,-66.45723
12/25/2013 0:00,14:00:00,Apropiacion Ilegal,18.462646,-66.727256
1/4/2013 0:00,22:00:00,Apropiacion Ilegal,18.458137,-66.731945
12/31/2013 0:00,15:00:00,Apropiacion Ilegal,18.479004,-66.770191
3/15/2013 0:00,11:00:00,Escalamiento,18.386655,-66.555811
5/21/2013 0:00,8:00:00,Apropiacion Ilegal,18.447525,-66.801285
6/8/2013 0:00,20:00:00,Apropiacion Ilegal,18.31699,-66.472547
12/18/2013 0:00,17:00:00,Robo,18.406866,-66.775136
5/1/2013 0:00,1:00:00,Vehiculo Hurtado,18.38476,-66.884586
5/11/2013 0:00,18:00:00,Apropiacion Ilegal,18.440267,-66.458402
